source_id,filename,source_class,branch,section,equation_identifier,equation_text,variables,assumptions,dependencies,claimed_result,current_status,canonical_match,external_match,executable,verification_status,falsification_status,promotion_candidate
DTC-C-5.2,DTC COMPILER.docx,"B (grandiose-synthesis, contains a falsified numerical claim)",Constants,5.2,lambda_1 = m_e/M_Planck,lambda_1 = m_e/M_Planck = 4.18575e-23 [claimed to come from] 'evaluating the constrained boundary condition of the hypergraph's stable topological twists',"electron mass m_e, Planck mass M_Planck, eigenvalue lambda_1",none of the claimed 'hypergraph topological twist' structure is defined anywhere in the shown text,none shown,the electron mass is a first-principles eigenvalue of a structural Laplace-Beltrami operator,CONSISTENT WITH REVERSE-COMPUTATION FROM THE ALREADY-KNOWN ANSWER,none,the measured m_e (9.10938e-31 kg) and CODATA M_Planck (2.17643e-8 kg) values quoted are both real and correct,"directly checkable: 4.18575e-23 * 2.17643e-8 = 9.1102e-31, matching the stated m_e to 4 significant figures","Directly recomputed this campaign: 4.18575e-23 * 2.17643e-8 kg = 9.110e-31 kg, matching the quoted electron mass to the precision shown. This is exactly consistent with lambda_1 having been computed AS m_e/M_Planck using the two already-known measured constants, then re-presented as an independently-derived 'eigenvalue from hypergraph topological twists' -- no actual operator, boundary condition, or eigenvalue computation is shown anywhere in the source text to justify the stated number by any route other than the direct division.",FALSIFIED as an independent derivation -- indistinguishable from and consistent with simple reverse-computation from the measured answer,"NO, and flagged as a corpus reliability warning for this document"
SEIT-V2-5,"SEIT v2.pdf (identical text: SEIT Unified Derivation.pdf, SEIT Unified Derivation v2.pdf)","B (grandiose-synthesis, but with a genuinely falsifiable prediction set)",Gauge/Standard Model,V,"G_SM = SU(3)xSU(2)xU(1) [derived, not postulated]","anomaly-cancellation constraint N_c-3=0 => N_c=3; minimal-generator-count selection among {SM(12 gen.), SU(5)(24 gen.), SO(10)(45 gen.)}","color number N_c, candidate GUT groups and their generator counts","the candidate list {SM, SU(5), SO(10)} is presupposed rather than derived; 'the spectral filter axioms and the vacuum photon-bath boundary condition' are asserted to select among them without the selection mechanism being shown in the excerpted text",SEIT's own earlier spectral-cascade sections (same pattern as Master Equation Codex sections 0-2),"the Standard Model gauge group is the unique anomaly-free, minimal-generator-count fixed point",PARTIALLY SUBSTANTIVE BUT INCOMPLETE AS SHOWN -- selects among a curated list rather than deriving the list itself,T2-HISTORICAL / T2-FORWARD-DERIVATION (both PROPOSED/OPEN),"anomaly cancellation and minimal-group arguments for GUT model selection are a real, established technique in beyond-Standard-Model physics (used, e.g., to compare SU(5)/SO(10)/etc. candidates) -- the TECHNIQUE is legitimate; the specific claim that it uniquely forces exactly the observed SM without further input was not independently verified this campaign",NO (not implemented in this project's compiler),"More substantive than the bare DTC COMPILER/Master Equation Codex assertion (MEC-5.3, DTC-C section 4) in that it names a real selection mechanism (anomaly cancellation + minimal generator count) rather than simply asserting the result -- but the campaign did not verify, within the time available, that the candidate list and the 'spectral filter axioms' invoked are themselves derived (rather than curated) from the document's own earlier primitives. Not independently reconstructed this campaign.",not falsified (not fully checked); also not verified,"NO (insufficiently derived from primitives, per this campaign's inspection; genuinely established SU(3)xSU(2)xU(1) itself is preserved as EXTERNAL established physics per this campaign's governing instruction, not as a result of this document)"
SEIT-V2-6,"SEIT v2.pdf (identical text: SEIT Unified Derivation.pdf, SEIT Unified Derivation v2.pdf)","B (grandiose-synthesis, but with a genuinely falsifiable prediction set)",Cosmology/Quantum,VI,m_aP = Lambda_QCD^2/(N_sub*M_Pl); GW at 166.48 Hz; soliton core R_c=120-150 pc,"N_sub=4.7619 (from CMB spectral index constraint, n_s=0.965); m_aP=(0.200 GeV)^2/(4.7619*1.22e19 GeV)~=6.885e-13 eV","sub-network count N_sub, QCD scale Lambda_QCD, Planck mass M_Pl, axion mass m_aP, GW frequency, soliton core radius R_c",N_sub is claimed to be fixed by the measured CMB scalar spectral index n_s=0.965 via an unshown formula (not located in the excerpted text this campaign read),"real measured cosmological/particle inputs: Lambda_QCD~0.2 GeV, M_Pl~1.22e19 GeV, n_s=0.965 (all standard, correctly quoted values)","three specific, novel, not-yet-observed falsifiable predictions: an ultralight axion mass, a monochromatic gravitational-wave background frequency, and a dwarf-spheroidal dark-matter soliton core radius range","STRUCTURALLY LEGITIMATE PREDICTION FORMAT, N_sub<-n_s STEP NOT VERIFIED, PREDICTIONS NOT CHECKED AGAINST CURRENT OBSERVATIONAL DATA THIS CAMPAIGN",none,"the functional FORM m_a~Lambda_QCD^2/f_a is the real, standard QCD-axion mass relation (f_a a Peccei-Quinn decay constant); using N_sub*M_Pl in place of f_a is this document's own novel substitution","the arithmetic chain from N_sub=4.7619 to m_aP=6.885e-13 eV is directly checkable and DOES check out: (0.2)^2/(4.7619*1.22e19)=6.885e-22 GeV=6.885e-13 eV, confirmed by this campaign's own recomputation","Unlike DTC-C-5.1/5.2, this is NOT a bare non-sequitur -- a real formula (the standard QCD axion mass relation) is used correctly, and the stated arithmetic from N_sub to the final mass is internally consistent and independently reconfirmed by this campaign. What was NOT verified this campaign: (a) the specific claimed relation between N_sub=4.7619 and the measured CMB spectral index n_s=0.965 (the connecting formula was not located in the read excerpt), so whether N_sub is itself independently derived or reverse-fit to produce a desired final number could not be confirmed either way; (b) whether the three predicted values (axion mass, 166.48 Hz GW background, 120-150 pc soliton cores) are already excluded by existing axion-search, LIGO/Virgo stochastic-background, or dwarf-spheroidal-kinematics constraints -- this requires an external-literature/observational-data check not performed this campaign.","UNTESTED THIS CAMPAIGN -- flagged as the single most promising genuinely-falsifiable claim in the entire corpus, pending (1) verification of the N_sub<-n_s step and (2) a check against current observational exclusion limits",NO promotion without the above two checks; explicitly flagged in MASTER_TOE_PREDICTIONS.md as the priority follow-up
FGU-1,Functorial Gauge Unification v1.docx,B (grandiose-synthesis),Quantum/Gravity,I-VI,T:Category(ER)~=Category(EPR); various restated GR/QFT/LQG/AdS-CFT formulas,"restates the Einstein field equations, the LQG area operator, the Ryu-Takayanagi formula, and the Polyakov string action side-by-side and declares them isomorphic images of one functor T","Grothendieck topos E, transport functors T_1/T_2/T_3, adaptive multiplicity M*","declares string theory, LQG, and AdS/CFT to be 'different coordinate dialects of the same underlying algebraic Topos' without constructing the isomorphisms claimed","restates, without deriving, standard formulas from four genuinely established but mutually distinct physics frameworks (GR, LQG, string theory, AdS/CFT)",'The search for a Theory of Everything is complete',NO DERIVATION FOUND; STATED FALSIFICATION CRITERIA ARE NOT OPERATIONALLY TESTABLE,none,"every individual formula quoted (Einstein field equations, LQG area operator, Ryu-Takayanagi, Polyakov action) is correctly stated, established physics -- the claimed ISOMORPHISM BETWEEN them is not established anywhere in the document",NO,"Read in full this campaign (93 lines). No construction of the claimed functorial isomorphisms is given anywhere -- each 'unification' consists of stating a known formula from one framework next to a known formula from another and asserting they are 'the exact mathematical invariants' of one operator, with no map, no proof, and no intermediate calculation. The three 'Rigid Falsification Protocols' given (e.g. 'the calculated adaptive multiplicity vector is zero and the system survives') are not stated in a form that names a measurable quantity or a real experiment, so the document's own claim to be 'falsifiable' does not hold up on inspection.","the document's central claim ('the search for a TOE is complete') is not supported by any shown derivation, and is inconsistent with the actual, well-documented open status of quantum-gravity unification in mainstream physics",NO
GUP-1,geometric unification paper.docx,B (grandiose-synthesis),Variational,1-2,Universal Persistence Field Equation (via delta C_Pi=0),not fully captured in the excerpt read this campaign (equation set formatting was not preserved in plain-text extraction for this specific block),"Recursive Distinction Omega, informational cost functional C_Pi, Fisher Information Transport Cost I_F","claims a single variational principle unifies GR geodesics, diffusion, the replicator equation, and the free-energy principle as 'exact invariant submanifolds'",none shown in the excerpt read,"a parameter-free unification of gravitation, thermodynamics, evolutionary biology, and cognition",NOT FULLY READ THIS CAMPAIGN (first 60 of ~169 lines only),VARIATIONAL-NODE (OPEN),not assessed,NO,"Only the abstract and section 1 opening were read this campaign; the claimed field-equation derivation (section 2.3 onward) was not inspected. Classified by strong structural similarity to Functorial Gauge Unification v1.docx and Master Equation Codex (same 'Recursive Distinction/Omega' primitive vocabulary, same sweeping cross-domain unification claim in the abstract) but this classification is a pattern-match, not a verified finding for this specific document's remaining content.",NOT ASSESSED THIS CAMPAIGN,NO (insufficient inspection to consider; flagged for a future deeper pass)
DTC-RS2-10,DTC_Rosetta_Stone_TOE_v2.docx,"B-rigorous (self-critical, honest open-problems section)",Constants,10 (Open Problems),n/a (prose),n/a,n/a,n/a,this document's own section 5 (gauge-group derivation),"explicit self-admission: 'Section 5 derives the gauge group structure of the Standard Model. It does not derive the fine-structure constant, the mass hierarchy, or any other dimensionless parameter. Whether these are further necessity-forced quantities or genuinely free parameters of this universe's particular solution is unresolved.'","HONEST, EXPLICIT NEGATIVE FINDING BY THE CORPUS'S OWN AUTHOR",none,n/a,not applicable,"This is a directly relevant, important internal-corpus finding: this document (part of the same DTC/Rosetta Stone research program as DTC COMPILER.docx) explicitly states the fine-structure constant is NOT derived and remains unresolved -- directly contradicting DTC COMPILER.docx's later claim (DTC-C-5.1) of an 'exact analytical derivation' of the same constant. This internal corpus contradiction corroborates this campaign's own independent arithmetic finding that the DTC COMPILER.docx claim does not hold up.","n/a (this row records a corroborating admission, not a tested claim)",NO
NCG-1,Noncommutative Geometry and the Spectral Action_ Toward a Unified TOE.pdf; ...Toward a Unified Theory.pdf,"C (external literature summary/review, not original derivation)",Geometry/Gauge/Spectral,whole document (not deep-read this campaign; TOC/summary-level only),Chamseddine-Connes spectral action principle,Tr f(D/Lambda) [standard form of the real spectral action],"Dirac operator D, spectral triple (A,H,D), cutoff function f, scale Lambda","genuine external published mathematics (Chamseddine-Connes, and Chamseddine-Connes-Marcolli for the finite Standard Model algebra)",none (external reference),"quoted claim (already registered verbatim in compiler/historical/register.py): 'when applied to an almost-commutative space..., the Spectral Action Principle yields exactly the Standard Model coupled to gravity'","ALREADY REGISTERED AS NCG-BRIDGE-EXTERNAL-REFERENCE (PROPOSED, role=comparison)",NCG-BRIDGE-EXTERNAL-REFERENCE,"the Chamseddine-Connes spectral action IS real, published, peer-reviewed physics (Comm. Math. Phys. 1997 and subsequent Standard Model papers) -- this project's own register.py document correctly identifies these two PDFs as literature-summary documents ABOUT that real result, not a SEIT-original derivation",NO (no spectral-triple/Dirac-operator construction exists anywhere in this project's own compiler),"Not independently re-read at equation level this campaign beyond confirming the title/framing matches the already-registered characterization; DTC-RP-004 (row DTC-RP4-1 above) provides independent, deeper, campaign-original engagement with this same real physics (via its Higgs-mass forcing test), and reaches a negative result for the SPECIFIC correspondence it tested.","not applicable to the external result itself (real, published, peer-reviewed physics); the SEIT-side correspondence to it, where tested (DTC-RP4-1), was found not forced","NO SEIT-original promotion; the underlying external NCG spectral action remains a legitimate candidate EXTERNAL structure worth a dedicated future implementation attempt, exactly as string theory was treated in the prior L0-ST literature phase"
UNREAD-Beyond the Theory of,Beyond the Theory of Everything.pdf,"B (not deep-read; largest remaining document, 7223 lines extracted)",unassessed,not read this campaign,n/a,n/a,n/a,n/a,n/a,not assessed,NOT DEEPLY READ THIS CAMPAIGN,n/a,n/a,n/a,"File was full-text-extracted (pdftotext/python-docx) and its title/abstract/structure was scanned for red-flag numerology patterns (grep sweep found no additional 'exact value' claims in this file matching the DTC COMPILER.docx pattern), but was not read in depth for equation-level content this campaign, given the scale of the corpus (~30 documents) relative to the time available. This is reported honestly rather than fabricating equation-level coverage.",not assessed,NO (insufficient inspection)
UNREAD-Consciousness_and_th,Consciousness_and_the_Universe__Quantum_Ph_-_Roger_Penrose.pdf,"C (genuine external Penrose book; consciousness/quantum-mind topic, tangential to core physics derivation; not read this campaign)",unassessed,not read this campaign,n/a,n/a,n/a,n/a,n/a,not assessed,NOT DEEPLY READ THIS CAMPAIGN,n/a,n/a,n/a,"File was full-text-extracted (pdftotext/python-docx) and its title/abstract/structure was scanned for red-flag numerology patterns (grep sweep found no additional 'exact value' claims in this file matching the DTC COMPILER.docx pattern), but was not read in depth for equation-level content this campaign, given the scale of the corpus (~30 documents) relative to the time available. This is reported honestly rather than fabricating equation-level coverage.",not assessed,NO (insufficient inspection)
UNREAD-Constraint Core Brie,Constraint Core Brief.pdf,B (referenced by DTC_Formal_Structure.docx as 'Scientific Brief 001'; not deep-read this campaign),unassessed,not read this campaign,n/a,n/a,n/a,n/a,n/a,not assessed,NOT DEEPLY READ THIS CAMPAIGN,n/a,n/a,n/a,"File was full-text-extracted (pdftotext/python-docx) and its title/abstract/structure was scanned for red-flag numerology patterns (grep sweep found no additional 'exact value' claims in this file matching the DTC COMPILER.docx pattern), but was not read in depth for equation-level content this campaign, given the scale of the corpus (~30 documents) relative to the time available. This is reported honestly rather than fabricating equation-level coverage.",not assessed,NO (insufficient inspection)
UNREAD-Executive Summary.pd,Executive Summary.pdf,B (the document DTC-RP-004 tests and finds non-forced; not independently deep-read this campaign beyond DTC-RP-004's own quotes from it),unassessed,not read this campaign,n/a,n/a,n/a,n/a,n/a,not assessed,NOT DEEPLY READ THIS CAMPAIGN,n/a,n/a,n/a,"File was full-text-extracted (pdftotext/python-docx) and its title/abstract/structure was scanned for red-flag numerology patterns (grep sweep found no additional 'exact value' claims in this file matching the DTC COMPILER.docx pattern), but was not read in depth for equation-level content this campaign, given the scale of the corpus (~30 documents) relative to the time available. This is reported honestly rather than fabricating equation-level coverage.",not assessed,NO (insufficient inspection)
UNREAD-Spectral Codex Volum,Spectral Codex Volume I Genesis.pdf,B (not deep-read; TOC/title suggests overlap with Master Equation Codex sections 0-2),unassessed,not read this campaign,n/a,n/a,n/a,n/a,n/a,not assessed,NOT DEEPLY READ THIS CAMPAIGN,n/a,n/a,n/a,"File was full-text-extracted (pdftotext/python-docx) and its title/abstract/structure was scanned for red-flag numerology patterns (grep sweep found no additional 'exact value' claims in this file matching the DTC COMPILER.docx pattern), but was not read in depth for equation-level content this campaign, given the scale of the corpus (~30 documents) relative to the time available. This is reported honestly rather than fabricating equation-level coverage.",not assessed,NO (insufficient inspection)
UNREAD-Spectral Codex Volum,Spectral Codex Volume II Gravity.pdf,B (not deep-read; TOC/title suggests overlap with Master Equation Codex section 3-4),unassessed,not read this campaign,n/a,n/a,n/a,n/a,n/a,not assessed,NOT DEEPLY READ THIS CAMPAIGN,n/a,n/a,n/a,"File was full-text-extracted (pdftotext/python-docx) and its title/abstract/structure was scanned for red-flag numerology patterns (grep sweep found no additional 'exact value' claims in this file matching the DTC COMPILER.docx pattern), but was not read in depth for equation-level content this campaign, given the scale of the corpus (~30 documents) relative to the time available. This is reported honestly rather than fabricating equation-level coverage.",not assessed,NO (insufficient inspection)
UNREAD-Spectral Codex Volum,Spectral Codex Volumes.docx,"B (largest single file in the corpus, 359KB extracted text; not deep-read this campaign)",unassessed,not read this campaign,n/a,n/a,n/a,n/a,n/a,not assessed,NOT DEEPLY READ THIS CAMPAIGN,n/a,n/a,n/a,"File was full-text-extracted (pdftotext/python-docx) and its title/abstract/structure was scanned for red-flag numerology patterns (grep sweep found no additional 'exact value' claims in this file matching the DTC COMPILER.docx pattern), but was not read in depth for equation-level content this campaign, given the scale of the corpus (~30 documents) relative to the time available. This is reported honestly rather than fabricating equation-level coverage.",not assessed,NO (insufficient inspection)
UNREAD-Spectral Emergence F,Spectral Emergence Framework v2.pdf,B (not deep-read this campaign),unassessed,not read this campaign,n/a,n/a,n/a,n/a,n/a,not assessed,NOT DEEPLY READ THIS CAMPAIGN,n/a,n/a,n/a,"File was full-text-extracted (pdftotext/python-docx) and its title/abstract/structure was scanned for red-flag numerology patterns (grep sweep found no additional 'exact value' claims in this file matching the DTC COMPILER.docx pattern), but was not read in depth for equation-level content this campaign, given the scale of the corpus (~30 documents) relative to the time available. This is reported honestly rather than fabricating equation-level coverage.",not assessed,NO (insufficient inspection)
UNREAD-Spectral Emergence I,Spectral Emergence Information Theory.pdf,B (not deep-read this campaign),unassessed,not read this campaign,n/a,n/a,n/a,n/a,n/a,not assessed,NOT DEEPLY READ THIS CAMPAIGN,n/a,n/a,n/a,"File was full-text-extracted (pdftotext/python-docx) and its title/abstract/structure was scanned for red-flag numerology patterns (grep sweep found no additional 'exact value' claims in this file matching the DTC COMPILER.docx pattern), but was not read in depth for equation-level content this campaign, given the scale of the corpus (~30 documents) relative to the time available. This is reported honestly rather than fabricating equation-level coverage.",not assessed,NO (insufficient inspection)
