chain_position,canonical_object,source_id,source_equation_id,source_structure_id,relationship,evidence,status,provenance
6,g_{mu nu} (metric),LIT-KIRITSIS-SST,ST-016,,KEYWORD_MATCH_LITERAL_TEXT,"Nambu-Goto action, area-of-worldsheet form, with explicit induced-metric definition G_{ij}=G_{mu nu} partial_i X^mu partial_j X^nu ((3.2.1),(3.2.4))",SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
6,g_{mu nu} (metric),LIT-KIRITSIS-SST,ST-018,,KEYWORD_MATCH_LITERAL_TEXT,"Polyakov action and the worldsheet stress tensor defined as its metric variation ((3.2.12),(3.2.13),(3.2.14))",SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
6,g_{mu nu} (metric),LIT-KIRITSIS-SST,ST-020,,KEYWORD_MATCH_LITERAL_TEXT,"the same three-symmetry structure as Tong ST-010 (Poincare/reparametrization/Weyl), independently presented ((3.2.18)-(3.2.24))",SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
6,g_{mu nu} (metric),ARXIV_DISCOVERY_CORPUS,,,TITLE_ABSTRACT_KEYWORD_MATCH_COUNT,31 of 135 discovered sources' title/abstract mention a related keyword,SOURCE_SUPPORT,"title/abstract only -- full text was NOT extracted for these sources this phase, so this is weak topical evidence, not equation-level support"
7,nabla (connection),UOC-COMPILER,,,NOT_IMPLEMENTED,no matching id in status_matrix.json,OPEN,no direct compiler IR node
7,nabla (connection),LIT-TONG-ST,ST-005,,KEYWORD_MATCH_LITERAL_TEXT,Nambu-Goto action: worldsheet induced metric gamma_{alpha beta} (pullback of flat spacetime metric) and the action proportional to worldsheet area ((1.11)-(1.14)),SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
7,nabla (connection),LIT-TONG-ST,ST-007,,KEYWORD_MATCH_LITERAL_TEXT,Nambu-Goto equations of motion for X^mu ((1.21)),SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
7,nabla (connection),LIT-TONG-ST,ST-008,,KEYWORD_MATCH_LITERAL_TEXT,Polyakov action: introduces an independent dynamical worldsheet metric g_{alpha beta} to eliminate the Nambu-Goto square root ((1.22)),SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
7,nabla (connection),LIT-TONG-ST,ST-009,,KEYWORD_MATCH_LITERAL_TEXT,"worldsheet metric's own equation of motion (stress tensor T_{alpha beta}=0 solved for g) ((1.24),(1.25))",SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
7,nabla (connection),LIT-KIRITSIS-SST,ST-018,,KEYWORD_MATCH_LITERAL_TEXT,"Polyakov action and the worldsheet stress tensor defined as its metric variation ((3.2.12),(3.2.13),(3.2.14))",SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
7,nabla (connection),LIT-KIRITSIS-SST,ST-022,,KEYWORD_MATCH_LITERAL_TEXT,"Noether currents and conserved charges of the Polyakov action: an infinite family Q_f from the traceless stress tensor, plus explicit momentum P_mu and angular-momentum J_{mu nu} currents from Poincare invariance ((3.2.41)-(3.2.46))",SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
7,nabla (connection),ARXIV_DISCOVERY_CORPUS,,,TITLE_ABSTRACT_KEYWORD_MATCH_COUNT,3 of 135 discovered sources' title/abstract mention a related keyword,SOURCE_SUPPORT,"title/abstract only -- full text was NOT extracted for these sources this phase, so this is weak topical evidence, not equation-level support"
8,R (curvature),UOC-COMPILER,,CURVATURE-OLLIVIER-RICCI,IMPLEMENTED_AS_COMPILER_NODE,status_matrix.json: CURVATURE-OLLIVIER-RICCI status=CALCULATED,COMPILER_ONLY,"compiler's node is discrete Ollivier-Ricci curvature (Phase 12), a different mathematical object from the Riemannian scalar curvature R the chain position names -- related by analogy only, not asserted equivalent"
8,R (curvature),LIT-TONG-ST,ST-005,,KEYWORD_MATCH_LITERAL_TEXT,Nambu-Goto action: worldsheet induced metric gamma_{alpha beta} (pullback of flat spacetime metric) and the action proportional to worldsheet area ((1.11)-(1.14)),SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
8,R (curvature),LIT-TONG-ST,ST-007,,KEYWORD_MATCH_LITERAL_TEXT,Nambu-Goto equations of motion for X^mu ((1.21)),SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
8,R (curvature),ARXIV_DISCOVERY_CORPUS,,,TITLE_ABSTRACT_KEYWORD_MATCH_COUNT,10 of 135 discovered sources' title/abstract mention a related keyword,SOURCE_SUPPORT,"title/abstract only -- full text was NOT extracted for these sources this phase, so this is weak topical evidence, not equation-level support"
9,G_{mu nu} (Einstein tensor),UOC-COMPILER,,SEMICLASSICAL-EINSTEIN-EQUATION,IMPLEMENTED_AS_COMPILER_NODE,status_matrix.json: SEMICLASSICAL-EINSTEIN-EQUATION status=PROPOSED,COMPILER_ONLY,
9,G_{mu nu} (Einstein tensor),LITERATURE_CORPUS,,,NO_MATCH,no keyword hit in the 25 extracted string-theory equations,UNRESOLVED,
9,G_{mu nu} (Einstein tensor),ARXIV_DISCOVERY_CORPUS,,,TITLE_ABSTRACT_KEYWORD_MATCH_COUNT,7 of 135 discovered sources' title/abstract mention a related keyword,SOURCE_SUPPORT,"title/abstract only -- full text was NOT extracted for these sources this phase, so this is weak topical evidence, not equation-level support"
10,S (action),UOC-COMPILER,,,NOT_IMPLEMENTED,no matching id in status_matrix.json,OPEN,no direct compiler IR node; the compiler has no action-functional backend
10,S (action),LIT-TONG-ST,ST-001,,KEYWORD_MATCH_LITERAL_TEXT,"relativistic point-particle action, fixed-frame form ((1.1))",SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
10,S (action),LIT-TONG-ST,ST-002,,KEYWORD_MATCH_LITERAL_TEXT,reparametrization-invariant point-particle action (worldline proper-time form) ((1.2)),SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
10,S (action),LIT-TONG-ST,ST-004,,KEYWORD_MATCH_LITERAL_TEXT,"einbein form of the point-particle action, e(tau) as worldline metric/vierbein ((1.8),(1.9),(1.10))",SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
10,S (action),LIT-TONG-ST,ST-005,,KEYWORD_MATCH_LITERAL_TEXT,Nambu-Goto action: worldsheet induced metric gamma_{alpha beta} (pullback of flat spacetime metric) and the action proportional to worldsheet area ((1.11)-(1.14)),SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
10,S (action),LIT-TONG-ST,ST-008,,KEYWORD_MATCH_LITERAL_TEXT,Polyakov action: introduces an independent dynamical worldsheet metric g_{alpha beta} to eliminate the Nambu-Goto square root ((1.22)),SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
10,S (action),LIT-TONG-ST,ST-010,,KEYWORD_MATCH_LITERAL_TEXT,"the three symmetries of the Polyakov action: Poincare invariance (global spacetime symmetry), reparametrization invariance (worldsheet diffeomorphism, gauge), Weyl invariance (local worldsheet rescaling, gauge) ((1.6),(1.26)-(1.29))",SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
10,S (action),LIT-KIRITSIS-SST,ST-014,,KEYWORD_MATCH_LITERAL_TEXT,relativistic point-particle worldline action and its mass-shell constraint ((3.1.1)-(3.1.4)),SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
10,S (action),LIT-KIRITSIS-SST,ST-015,,KEYWORD_MATCH_LITERAL_TEXT,"einbein-field point-particle action and its on-shell solution for e(tau) ((3.1.9),(3.1.13))",SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
10,S (action),LIT-KIRITSIS-SST,ST-016,,KEYWORD_MATCH_LITERAL_TEXT,"Nambu-Goto action, area-of-worldsheet form, with explicit induced-metric definition G_{ij}=G_{mu nu} partial_i X^mu partial_j X^nu ((3.2.1),(3.2.4))",SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
10,S (action),LIT-KIRITSIS-SST,ST-018,,KEYWORD_MATCH_LITERAL_TEXT,"Polyakov action and the worldsheet stress tensor defined as its metric variation ((3.2.12),(3.2.13),(3.2.14))",SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
10,S (action),LIT-KIRITSIS-SST,ST-019,,KEYWORD_MATCH_LITERAL_TEXT,"classification of the only two additional terms Weyl invariance permits to be added to the Polyakov action ((3.2.16),(3.2.17))",SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
10,S (action),LIT-KIRITSIS-SST,ST-022,,KEYWORD_MATCH_LITERAL_TEXT,"Noether currents and conserved charges of the Polyakov action: an infinite family Q_f from the traceless stress tensor, plus explicit momentum P_mu and angular-momentum J_{mu nu} currents from Poincare invariance ((3.2.41)-(3.2.46))",SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
10,S (action),ARXIV_DISCOVERY_CORPUS,,,TITLE_ABSTRACT_KEYWORD_MATCH_COUNT,25 of 135 discovered sources' title/abstract mention a related keyword,SOURCE_SUPPORT,"title/abstract only -- full text was NOT extracted for these sources this phase, so this is weak topical evidence, not equation-level support"
11,delta S = 0 (Euler-Lagrange / stationarity),UOC-COMPILER,,,NOT_IMPLEMENTED,no matching id in status_matrix.json,OPEN,no direct compiler IR node; no variational-calculus backend exists
11,delta S = 0 (Euler-Lagrange / stationarity),LIT-TONG-ST,ST-009,,KEYWORD_MATCH_LITERAL_TEXT,"worldsheet metric's own equation of motion (stress tensor T_{alpha beta}=0 solved for g) ((1.24),(1.25))",SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
11,delta S = 0 (Euler-Lagrange / stationarity),LIT-KIRITSIS-SST,ST-017,,KEYWORD_MATCH_LITERAL_TEXT,"open-string boundary conditions (Neumann and Dirichlet) ((3.2.7),(3.2.8))",SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
11,delta S = 0 (Euler-Lagrange / stationarity),LIT-KIRITSIS-SST,ST-021,,KEYWORD_MATCH_LITERAL_TEXT,free wave equation and Virasoro constraints in conformal gauge -- independently matches Tong ST-012 ((3.2.34)-(3.2.37)),SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
11,delta S = 0 (Euler-Lagrange / stationarity),ARXIV_DISCOVERY_CORPUS,,,TITLE_ABSTRACT_KEYWORD_MATCH_COUNT,8 of 135 discovered sources' title/abstract mention a related keyword,SOURCE_SUPPORT,"title/abstract only -- full text was NOT extracted for these sources this phase, so this is weak topical evidence, not equation-level support"
